Name, Funding, Size, Location, ES
Adventure Aquarium, 10000000, 200000, United States, 2
Aquarium of Niagara, 2000000, 35000, United States, 2
Aquarium of the Pacific, 20000000, 150000, United States, 3
Audubon Aquarium & Insectarium, 6000000, 40000, United States, 2
Bailey-Matthews National Shell Museum, 1500000, 20000, United States, 1
Bermuda Aquarium Museum and Zoo, 5000000, 120000, Bermuda, 2
Birch Aquarium at Scripps, 10000000, 65000, United States, 2
Cabrillo Marine Aquarium, 2000000, 20000, United States, 1
Columbus Zoo & Aquarium, 50000000, 220000, United States, 3
Dallas World Aquarium, 15000000, 87000, United States, 3
The Florida Aquarium, 10000000, 250000, United States, 1
Georgia Aquarium, 50000000, 1000000, United States, 4
Jenkinson's Aquarium, 5000000, 8000, United States, 1
John G. Shedd Aquarium, 40000000, 600000, United States, 1
Kansas City Zoo & Aquarium, 30000000, 100000, United States, 1
Landry's Downtown Aquarium - Denver, 10000000, 75000, United States, 1
Landry's Houston Aquarium Inc., 10000000, 50000, United States, 1
Loveland Living Planet Aquarium, 15000000, 136000, United States, 1
The Maritime Aquarium at Norwalk Inc., 5000000, 100000, United States, 1
Monterey Bay Aquarium, 45000000, 320000, United States, 4
Moody Gardens Rainforest and Aquarium, 25000000, 800000, United States, 1
Mote Marine Laboratory and Aquarium, 15000000, 60000, United States, 1
Mystic Aquarium, 20000000, 175000, United States, 1
National Aquarium, 50000000, 250000, United States, 3
National Mississippi River Museum & Aquarium, 4000000, 100000, United States, 1
New England Aquarium, 30000000, 200000, United States, 1
New York Aquarium, 15000000, 140000, United States, 1
Newport Aquarium, 7000000, 70000, United States, 1
North Carolina Aquarium at Fort Fisher, 5000000, 20000, United States, 1
North Carolina Aquarium at Pine Knoll Shores, 4000000, 25000, United States, 1
North Carolina Aquarium on Roanoke Island, 4000000, 25000, United States, 1
OdySea Aquarium, 10000000, 200000, United States, 1
Omaha's Henry Doorly Zoo & Aquarium, 30000000, 1300000, United States, 1
Oregon Coast Aquarium, 5000000, 23000, United States, 1
Pittsburgh Zoo & Aquarium, 20000000, 30000, United States, 1
Point Defiance Zoo and Aquarium, 15000000, 100000, United States, 1
Ripley's Aquarium of Myrtle Beach, 8000000, 87000, United States, 1
Ripley's Aquarium of Canada, 15000000, 100000, Canada, 1
Ripley's Aquarium of the Smokies, 12000000, 80000, United States, 1
SEA LIFE Aquarium at LEGOLAND California Resort, 10000000, 25000, United States, 1
SEA LIFE Arizona Aquarium, 7000000, 25000, United States, 1
SEA LIFE Charlotte-Concord Aquarium, 5000000, 25000, United States, 1
SEA LIFE Grapevine Aquarium, 5000000, 25000, United States, 1
SEA LIFE Kansas City Aquarium, 6000000, 25000, United States, 1
SEA LIFE Michigan Aquarium, 6000000, 25000, United States, 1
SEA LIFE Orlando Aquarium, 10000000, 25000, United States, 1
Seattle Aquarium, 20000000, 120000, United States, 1
SeaWorld® Yas Island - Abu Dhabi, 60000000, 700000, United Arab Emirates, 1
SeaWorld® Orlando, 200000000, 6000000, United States, 1
SeaWorld® San Antonio, 150000000, 7000000, United States, 1
SeaWorld® San Diego, 180000000, 5000000, United States, 1
Shark Reef Aquarium at Mandalay Bay, 5000000, 20000, United States, 1
South Carolina Aquarium, 15000000, 100000, United States, 1
Steinhart Aquarium, 30000000, 200000, United States, 1
Tennessee Aquarium, 20000000, 130000, United States, 1
Texas State Aquarium, 15000000, 130000, United States, 1
Vancouver Aquarium, 30000000, 70000, Canada, 3
Virginia Aquarium and Marine Science Center, 15000000, 80000, United States, 1
